动物,学名,分类,栖息地,分布,食性,行为,繁殖,保护状态,趣味事实,来源URL,语言,状态,错误信息
豹,Panthera pardus,属：Panthera；种：Panthera pardus,灌丛群落、森林、热带草原、雨林、湿地沼泽、荒漠、雪地等多种地形环境，从海拔100米的低地到海拔3000米的高山,广泛分布于非洲和亚洲的各个国家和地区，包括中亚、东亚、东南亚等。原产国包括阿富汗、阿尔及利亚、安哥拉等数十个国家。已绝迹于香港、科威特等地。可能已绝迹于阿联酋、埃及、韩国、摩洛哥。,高角羚、汤氏瞪羚、非洲疣猪、狒狒属、灰小羚羊、花鹿、扭角林羚、长尾叶猴属、瞪羚属、白眉猴属、穿山甲属、豪猪科、珠鸡、猴科、獛属、蓝孔雀、薮羚、椋鸟属、草兔、土豚、蹄兔目、腐肉、獴科、狞猫属、薮猫、努比亚羱羊、原麝、大耳狐、犬、家山羊、梅花鹿、山魈、角马、斑马、猫、毛冠鹿、中华竹鼠、牛、胡狼、非洲灵猫、非洲獴、卵、巴巴里条纹草鼠、小蠹亚科、婴猴、鹫珠鸡、黑象鼩、长尾黑颚猴、跳兔属、狐獴、印度黑羚、安氏林羚、侏羚、野猪、西方狍、狗獾、臆羚、鼠属、大猩猩属、黑猩猩属、南红嘴犀鸟、埃及雁、鼠兔属、雪兔、大白鹭、白鹳、黑鹳、疣猴属、长尾猴属、非洲野猪属、鸵鸟、㺢㹢狓、麂属、欧洲野兔、鸡、羊、野山羊、环颈雉、亚非野猫、柯氏狷羚、大蔗鼠、转角牛羚、小岩羚、红霓羚、金龟子、大羚羊、有蹄类动物、猴子、啮齿类、爬虫类、两栖类、鸟类、鱼类、黑猩猩,活动节律：昼行性（注：正文多处提及夜行性或晨昏活动，存在冲突）。独居，具有很强的领地性。行踪隐秘，隐蔽性强。善于爬树，会将猎物拖到树上以避开其他掠食者。,孕期：90至105天；每胎数量：1至4只幼崽。交配时公豹咬住母豹脖颈。幼豹2周大时开始学步，6至8周大跟随母亲移动，3到4个月断奶，12到18个月后独立。2.5至3岁性成熟。野生平均寿命12-17年，圈养约21-23年。,IUCN：易危物種,豹有时会有黑化现象，即为黑豹，皮肤及毛发上出现大量黑色素，但还是可隐约见到斑点。；豹是少数可适应不同环境的猫科动物，既会游泳，又会爬树，奔跑时速可达58公里/小时。；豹狮是公豹与母狮的杂交种，头部像狮，身体带有斑点像豹，雄性个体有可能会像公狮一样长有鬃毛。,https://zh.wikipedia.org/wiki/%E8%B1%B9,zh,success,
豹猫,Prionailurus bengalensis,属：Prionailurus；种：Prionailurus bengalensis,栖息地类型多样，包括热带雨林、针叶林、半沙漠及农业区（如油棕园和甘蔗园），主要栖息在森林与雨林地带，通常为距河道较近的潮湿区域，海拔范围0米至3240米。,分布于季风亚洲，包括朝鲜、中国、俄罗斯、越南、老挝、柬埔寨、泰国、马来西亚、印度尼西亚、菲律宾、孟加拉国、不丹、新加坡、阿富汗、日本、巴基斯坦、印度次大陆等。,肉食性，主要捕食啮齿类、鸟类、鱼类、爬行类、小型哺乳动物、两栖动物、蜥蜴、昆虫、蛇。北方豹猫也吃野兔、草、蛋和水栖动物作为补充。,夜行性，擅长爬树和游泳。除繁殖期外为独居型。白天在洞穴中休息，洞穴包括中空树干、地洞或山洞。体型因分布地区而异，南方亚种较小且毛色偏黄，北方亚种较大且毛色偏银灰色。,交配期约5-9日，怀孕期60-70天（Wikidata显示67±2天），每胎通常生下2-4只幼崽。新生幼猫体重75-130克，10日睁眼，23日后开始吃固体食物，四周大时出现永久犬齿。通常在18个月时长成。,IUCN：无危物种,现代宠物猫品种孟加拉猫是豹猫与家猫的杂交种。；考古学研究表明，在新石器时代的中国，豹猫可能是第一种被驯化的猫，驯化历史至少5000年。；豹猫的名字源于其所有亚种外表的斑点都类似豹纹，而家猫很少见豹纹。,https://zh.wikipedia.org/wiki/%E8%B1%B9%E8%B2%93,zh,success,
东北虎,Panthera tigris altaica,种：Panthera tigris；亞種：Panthera tigris altaica,俄罗斯东南部、朝鲜（主要为两江道的三池渊市及大红湍郡之长白山一带）和中国东北等地的山林中。,分布于俄罗斯东南部、朝鲜民主主義人民共和國（主要为两江道的三池渊市及大红湍郡之长白山一带）和中国东北等地。,主要以鹿、野猪、麝、狍子、斑羚、青鼬等动物为食，偶尔捕食蛇类和鱼类，也吃松子、胡桃、榛子、覆盆子等野果。食物缺乏时捕杀猪、羊、牛等家禽家畜，甚至可能袭击人类及东北棕熊。在有蹄类动物减少时会尝试捕食亚洲黑熊和棕熊。,主要在夜间活动，白天在岩洞或草丛中休息。除了交配、育子的虎之外，每只虎都有自己的很大一片单独活动的区域，密度非常低。其在冬天可以移动数百至上千公里。,西伯利亚虎四岁左右性成熟。一年之内任何时间都可能交配。孕期为103至105天，一胎可生2至4只，两至三年生产一次，出生的同胞幼虎中的雌雄数量相同，虽然成年以后雄性死亡率要高于雌性。野生西伯利亚虎可活15至17年，超过20年的极为罕见。在人工饲养情况下寿命为20-25年，最长的可达30年。成长期分为由幼崽（Cubs）<12个月、少年（Juveniles） 1至2岁、亚成年（Sub-adults）> 2至3岁、年轻（Young-adults） > 3至5岁、成年（Prime-adults）> 5至10岁、老年（Old-adults） > 10岁。,IUCN：瀕危 (保育狀況),2022年来自华东师范大学的资料认为西伯利亚虎是体型最大的老虎亚种，也是目前世界上最大的野生猫科动物（杂交种的狮虎除外）。；2008年，西伯利亚虎被美国网站《生活科学》评为“全球十大最濒危稀有动物”物种之一。；1943年被人类捕杀的一只个体体长达到350厘米。,https://zh.wikipedia.org/wiki/%E4%B8%9C%E5%8C%97%E8%99%8E,zh,success,
孟加拉虎,Panthera tigris tigris,种：Panthera tigris；亞種：Panthera tigris tigris,主要活动于印度和孟加拉国的孙德尔本斯三角洲的红树林，不过在其它地区的雨林和草原里也有它们的踪迹。,分布于印度、尼泊爾、孟加拉國、不丹、中华人民共和国,主食为白斑鹿、印度黑羚、野猪和印度野牛，有时也能爬树捕食灵长目的猎物。其它的捕食者，如豹、狼、豺、狐狸、鳄鱼、懒熊、也可能成为孟加拉虎的猎物。在比较罕见的情况下，孟加拉虎也攻击小象和犀牛。,孟加拉虎喜欢在夜间捕食。它瞄准猎物的咽喉，用它强大的咬劲直接咬断较小猎物的颈椎或让大型猎物窒息。它可在一餐内吃掉18至40千克(公斤)的肉，并在接下来几天内不进食。,,IUCN：瀕危 (保育狀況),在卡齐兰加国家公园，老虎在2007年杀死了20只犀牛。；孟加拉虎有杀死湾鳄的记录，据目击者报导，一只一千八百磅的湾鳄被老虎杀死。；2017年6月，在Kerala’s Wayanad至少有6头是由于干旱被老虎杀死的大象。,https://zh.wikipedia.org/wiki/%E5%AD%9F%E5%8A%A0%E6%8B%89%E8%99%8E,zh,partial,字段缺失：繁殖
猕猴,Macaca,亚科：Cercopithecinae；属：Macaca,,亚洲、北非和南欧,杂食性,活动节律：晝行性,孕期：165±5天；每胎数量：1；哺乳期：1年,,除人类以外，猕猴是在全球分布最广泛的灵长类动物。；西藏一些地区的神话传说中，有猕猴逐渐变成人类、人类起源自猕猴的说法，如慈悲心的老猴子父亲的故事。,https://zh.wikipedia.org/wiki/%E7%8D%BC%E7%8C%B4,zh,partial,字段缺失：栖息地、保护状态
白眉长臂猿,Hoolock,科：Hylobatidae；属：Hoolock,,主要分布在印度东北部到缅甸地区，中国西南部和孟加拉国东部也有少数种群。,以水果、昆虫和树叶为食。,活动节律为昼行性，运动方式为臂跃行动，栖息在树上。,孕期约为232天（或七个月），幼猿体毛初为奶白色，六个月后变黑，8-9年完全成熟，野外平均寿命为25年。,,雄性白眉长臂猿的体毛为黑色且眉毛为白色，而雌性体毛为灰褐色，胸部和颈部颜色较深。；白眉长臂猿是体型仅次于合趾猿的长臂猿，成年个体体长可达90厘米，体重6-9公斤。,https://zh.wikipedia.org/wiki/%E7%99%BD%E7%9C%89%E9%95%BF%E8%87%82%E7%8C%BF,zh,partial,字段缺失：栖息地、保护状态
白鹇,Lophura nycthemera,属：Lophura；种：Lophura nycthemera,"平地低至海拔2,000米以下之林地、浓密竹林、灌木丛，主要栖息地为中国南方与东南亚地区的中海拔森林。",分布于东亚与中南半岛，包括中国（广东、云南、四川、贵州、广西、海南、湖南、福建、浙江、安徽、湖北、江西）、越南、老挝、缅甸与泰国等地。,杂食性，野外以昆虫、种子、果实、植物嫩叶、草仔、浆果以及蝗虫、蟋蟀、蛙等为食。,属于社群活动鸟类，常呈一夫多妻或小群活动，喜疾驰，性机敏，不擅飞行，多在地表结群活动，夜晚栖息于树枝上。冬季迁移时常聚集数十至近百只，族群内有严格阶级关系。鸣声宏亮但单调刺耳。,繁殖期在每年2~6月（或四月），行一雄多雌制。雄鸟发情时振翅发声。在地面凹处、灌木丛、草丛或竹林间筑巢。每窝产蛋4~8枚（人工圈养6~10枚），由母鸟抱孵，孵化期25~27天。,IUCN：无危物种,白鹇因啼声喑哑类似鸭叫而被称为“哑瑞”，在中国文化中自古即是名贵的观赏鸟。；清朝将白鹇作为五品官服的图案，宋代李昉将其畜养的五种珍禽之一称为“闲客”。；白鹇被评选为中国广东省的省鸟，同时也是哈尼族的文化图腾。,https://zh.wikipedia.org/wiki/%E7%99%BD%E9%B9%87,zh,success,
鸬鹚,Phalacrocorax carbo,属：Phalacrocorax；种：Phalacrocorax carbo,主要生活在旧大陆和北美洲东海岸，一般在悬崖上或树上作窝，但是越来越多地也在内陆生活。繁殖于湖泊中砾石小岛或沿海岛屿。经常停栖在岩石或树枝上晾翼。,分布于南岭、非洲、布吉納法索、北美洲东部沿海、欧洲、俄罗斯南部、西伯利亚南部、非洲西北部及南部、中东、亚洲中部、印度、中国、东南亚、澳大利亚、新西兰。,以潜水鱼类为食，捕食地区约60%都在底栖带。,在水里追逐鱼类，经常潜泳，亦常停栖在岩石或树枝上晾翼；非常合群，常列排飞行。能在水下待28秒左右，下潜深度在5.8米左右。,繁殖于湖泊中砾石小岛或沿海岛屿。在海草和嫩枝达成的窝里一次下3至4枚蛋。中国与日本的部分渔民训练它们捕鱼。,IUCN：无危物种,普通鸬鹚的幼雏60日龄左右即可下水，150日龄后可逐渐进行正常捕鱼。；渔民训练鸬鹚捕鱼时，需用莎草、藁草或特制铜环套上鸬鹚颈上，使其只能吞下小鱼，不能吞下比较大的鱼。,https://zh.wikipedia.org/wiki/%E6%99%AE%E9%80%9A%E9%B8%95%E9%B6%BF,zh,success,
考拉,Phascolarctos cinereus,属：Phascolarctos；种：Phascolarctos cinereus,低海拔、不密集的桉树林,特有于澳大利亚东部昆士兰州、新南威尔士、南澳大利亚州和维多利亚地区,桉树叶和嫩枝,夜行性，每日睡眠16至22小时，非群居，社交行为极少,孕期37天，每胎1只，育儿袋时间6个月,IUCN：易危物種,成年树袋熊平均每天要吃400g树叶，且需咀嚼上百万次以摄取营养。；刚出生的树袋熊因无牙齿无法咀嚼树叶，会吞食母亲粪便直到牙齿长出。；其消化道长达6.5英寸（170毫米），占整个消化系统的20%，用于分解桉树叶毒素。,https://zh.wikipedia.org/wiki/%E7%84%A1%E5%B0%BE%E7%86%8A,zh,success,
亚洲象,Elephas maximus,动物界 > 脊索动物门 > 哺乳纲 > 真兽下纲 > 非洲兽总目 > 长鼻目 > Elephas > E. maximus,东南亚和南亚的热带地区，包括森林地带。古代曾分布于西亚两河流域至中国黄河流域，现今中国境内栖息地被压缩到云南无量山、哀牢山以南的西双版纳、普洱和临沧一带，活动北界可达玉溪、昆明之间。,主要分布在印度、尼泊尔、斯里兰卡、缅甸、泰国、越南、印尼和马来西亚等十三个国家，约四十四万平方公里土地。在中国，现存于云南南部地区。,草食性，以棕榈、芭蕉、树叶、果实和其他植物为食。,性情温和，比较容易驯服。在野外，老虎、豹和人类是其主要敌人。每群由数头到数十头象不等，没有固定的栖息地点。在南亚国家常被驯服用来役使，如搬运木材；历史上也曾被训练为战象。,妊娠期约18—22个月，每胎通常一仔；幼象哺乳约2年，18—24岁完全成年。,IUCN红色名录中的濒危物种之一,亚洲象鼻端有一个呈手指状的突出物，由于此突出物有大量的神经细胞，因此使象鼻像人类的手指一样灵活。；有一定比例的雄性亚洲象不长象牙，这一比例可能与它们在过去受到的捕猎压力有关。；传说白象为古时泰北的兰纳王国带来幸运，自此成为泰国的国宝，泰国皇室勋章级数最高的是皇家白象勋章。,https://zh.wikipedia.org/wiki/%E4%BA%9A%E6%B4%B2%E8%B1%A1,zh,partial,Wikidata：Waiting for wdqs1012: 12.25 seconds lagged.；字段缺失：食性、繁殖
白颊长臂猿,Nomascus leucogenys,属：Nomascus；种：Nomascus leucogenys,热带森林,中国云南、越南和老挝等地,,昼行性,孕期206±6天,IUCN：極危,雄性体色为黑色，雌性则为黄褐色或金黄色。；两颊长有明显的两块白色块斑。,https://zh.wikipedia.org/wiki/%E5%8C%97%E6%96%B9%E7%99%BD%E9%A2%8A%E9%95%BF%E8%87%82%E7%8C%BF,zh,partial,字段缺失：食性
白掌长臂猿,Hylobates lar,属：Hylobates；种：Hylobates lar,热带森林、雨林,"分布于中国西南部（云南）、缅甸、老挝、泰国、整个马来半岛以及印尼的苏门答腊岛。模式产地在马六甲及云南勐连,腊福。",食物主要是水果，也吃树叶、花蕾和昆虫。,昼行性，树栖性，很少下地活动，通过长长的手臂在林中穿梭。群居。,孕期为七至八个月，通常每胎一仔，幼崽一般要照料两年，八年完全成熟，野外平均寿命约为25年。,IUCN：瀕危 (保育狀況),白掌长臂猿的手臂较长，手掌和脚掌部分为白色，脸部四周也长著一圈白毛。；包括五个亚种：马来白掌长臂猿、卡氏白掌长臂猿、中部白掌长臂猿、苏门答腊白掌长臂猿和云南白掌长臂猿。,https://zh.wikipedia.org/wiki/%E7%99%BD%E6%8E%8C%E9%95%B7%E8%87%82%E7%8C%BF,zh,success,
黄颊长臂猿,Nomascus gabriellae,Nomascus；种：Nomascus gabriellae,主要栖息于原始热带森林中，成年个体通常生活在树冠层，幼体或特定情况下可能出现在森林下层。,原产于越南、老挝和柬埔寨。已知最大种群位于柬埔寨的Keo Seima野生动物保护区，此外在越南的猫头鹰国家公园（Cat Tien National Park）也有大型受保护野生种群。,以水果为食。,昼行性且树栖。通过摆荡（brachiation）在树木间移动。群体清晨高声鸣叫，配偶间会进行二重唱（duetting），歌声用于防御领地、食物资源和配偶，也可能吸引潜在伴侣。,雌性出生时为金黄色以融入母亲毛发，随后变黑，达到性成熟时再次变为金黄色但头顶保留黑色帽状斑纹；雄性终生保持这种带金色脸颊的黑色外观。推测寿命约为46年。,IUCN：瀕危 (保育狀況),该物种因英国自然学家Gabrielle Maud Vassal而被发现并以她的名字命名。；在柬埔寨的Keo Seima野生动物保护区，2020年估计有1432只该物种，过去十年种群数量似乎保持稳定。；除了人类外，成年黄颊长臂猿在森林树冠层没有天敌，但在森林下层可能面临豹、云豹和蟒蛇的捕食威胁。,https://en.wikipedia.org/wiki/Yellow-cheeked_gibbon,en,success,
红猩猩,Pongo,Pongini；属：Pongo,热带雨林地区的树上，尤其是靠近河流的区域（如泥炭沼泽森林）；干燥、不常受洪水冲击的森林较少见。偶尔进入草原、农田、花园、次森林及浅湖泊。种群密度随海拔升高而降低。,印度尼西亚和马来西亚的婆罗洲和苏门答腊部分区域。具体包括：婆罗洲猩猩分布于婆罗洲；苏门达腊猩猩分布于苏门达腊；打巴奴里猩猩分布于苏门答腊多巴湖以南。,主要以水果为食（占觅食时间57-80%），喜爱无花果等柔软果肉或有大种子的水果。也食用树叶（11-25%）、树皮、蜂蜜、鸟蛋、昆虫、小型脊椎动物（如懒猴）。偶尔吃土（含高岭土以中和毒性）和舔舐岩石获取矿物质。是某些植物唯一的果实散播者。,独居，社交关系限于母子间。大部分时间在树上度过，擅长树栖。早晨觅食，中午休息，傍晚远行，夜间筑巢休息。潜在捕食者有老虎、云豹和野狗。使用多种工具（如提取昆虫/种子的棒子、树叶放大声音）。具有高度智力，能使用镜子测试，拥有自我意识，能进行合作拉动实验，具备文化差异。,雄性约15岁成熟，存在发育停滞状态。雌性首次生育年龄15岁，妊娠期约9个月，新生儿重1.5-2千克。生育间隔6-9年（大型猿类中最长）。一胎通常一只，双胞胎罕见。雄猩猩不杀婴。雌猩猩负责照顾后代至8岁左右（比任何哺乳动物都长）。幼崽前4个月依附母亲腹部，1岁半掌握爬树技巧，2岁后偶尔离开母亲，6-7岁进入青少年期独立生活但仍保持联系。寿命通常可达30岁。,依据 IUCN 红色名录，所有三个物种均处于濒危状态。,猩猩是第一个被观察到拥有“计算互惠”能力（权衡礼物交换成本与收益并追踪信息）的非人类物种。；雌猩猩照顾孩子直到8岁，这个时间是所有哺乳动物中最长的。；猩猩会利用龙血树作为消炎药。,https://zh.wikipedia.org/wiki/%E7%8C%A9%E7%8C%A9%E5%B1%AC,zh,success,
二趾树懒,Choloepus didactylus,属：Choloepus；种：Choloepus didactylus,主要栖息于南美洲的热带雨林内。,分布于尼加拉瓜、帕拉戈米納斯，以及南美洲的委内瑞拉、圭亚那、巴西北部至亚马逊河地区。,主食为绿色植物，如伞树科（cecropia）的物种。浆果、树叶、幼枝、果实等也是其对象。有报导指其也吃小昆虫等。不会直接喝水，但会透过进食植物时及舐朝露以补充水分。,二趾树懒移动缓慢而不慌不忙。不论是睡眠、进食、交配或产子，它们一生中的大部分时间均倒吊在树上度过，只有排便及要换一株新树进食时它们才会爬到地面，这时也是最危险的时间。代谢率低，一周才会排便一次；由于消化道短小，因此食物可留在其体内达一个月之外。在地上时移动力极弱，仅靠四肢拖行前进，在树上则较灵活。二趾树懒也是健泳者，流线形的身体及毛发很能适应热带雨林气候。夜行性，一天能睡上15小时，仅在晚上时才醒来进食。利用其中一边的前肢抓取树叶后放在口腔内进食。二趾树懒能有效伪装于浓密的森林内。常见其休息的姿势为卷曲成小球状于树枝上或类似白蚁丘及树结等地方。配以毛发上的绿色使它们不易被猎食者发现。虽然它们也能用爪趾及牙齿去防御，但由于性格温驯，因此它们更依赖伪装所带给它们的保护。平时密不作声，但偶尔也会在受刺激时发出嘶嘶声及如低泣般的呻吟声。独行性动物，雌性偶尔也会整群占据同一株树，而年轻的雄性多会继承其父母亲留下的地盘。,雌性约在3年后达到性成熟，雄性则要4至5年。在半年至九个月的怀孕期后诞下一只幼兽，出世时只有约25公分长及重约356克。它们会紧紧依附在母亲的腹部达5星期，直到有足够的力气可以攀爬后开始自力更生。有纪录最长寿命为一只豢养的雌兽，寿命达36.8年。,IUCN：无危物种,二趾树懒被认为是世界上活动速度最慢的生物。；每只二趾树懒身上有至少上百只寄生虫，它们会在其大便上产卵，并透过进食树懒身上其他的昆虫、真菌及霉菌维生，形成了一个小生境。；全身长棕灰色毛发，并由腹部开始向背部生长，这与许多哺乳动物不同。这种毛发的特点是每一小段上均有凹槽般的空隙能容下藻类，使二趾树懒披上一身浅绿色。,https://zh.wikipedia.org/wiki/%E4%BA%8C%E8%B6%BE%E6%A8%B9%E6%87%B6,zh,success,
孟加拉蜂猴,Nycticebus bengalensis,灵长目；懒猴科；蜂猴属,热带和亚热带常绿、半常绿森林及竹林，偏好树冠连续的高大密林。,孟加拉国、印度东北部、东南亚，以及中国云南和广西西南部。,以植物汁液、树胶和果实为主，也吃大型昆虫、蜗牛、小型鸟类和爬行动物。,夜行、树栖，白天蜷缩在浓密植被或树洞中休息，常以小家庭活动。,妊娠期约6个月，通常每胎一仔，约20个月达到性成熟。,IUCN：濒危；中国国家一级重点保护野生动物。,蜂猴是少数有毒的灵长类，肘部腺体分泌物与唾液混合后可形成毒性物质。,https://en.wikipedia.org/wiki/Bengal_slow_loris,zh,partial,"Wikidata：Waiting for wdqs1016: 13.016666666667 seconds lagged.；LLM 请求或结构化解析失败：Error code: 400 - {'error': {'code': 'data_inspection_failed', 'param': None, 'message': 'Input text data may contain inappropriate content.', 'type': 'data_inspection_failed'}, 'id': 'chatcmpl-bc848bcf-45a9-9c67-8123-b2abe5e4b82e'}；字段缺失：分类、食性、保护状态、趣味事实"
东黑白疣猴,Colobus guereza,属：Colobus；种：Colobus guereza,落叶和常绿的森林，靠近河流或湖泊的次生林。,非洲中西部和东部，包括喀麦隆、赤道几内亚、尼日利亚、埃塞俄比亚、肯尼亚、坦桑尼亚、乌干达和乍得。,主要吃树叶，也吃种子、水果和节肢动物。,日行性，树栖，团体生活（3到15只），一夫多妻制，通过声音交流发起交配。,孕期为五个月，幼崽出生时皮肤为粉红色，毛发为白色，在3到4个月内变暗到成猴的颜色。,IUCN：无危物种,它有与众不同的外貌，长长的白毛沿着躯体的两边分布，脸是凹陷的且为白色，并有一个很大的白色尾巴。；它的特殊构造的胃可以消化高纤维的植物原料，并且可能一段时间只吃几个品种的植物。,https://zh.wikipedia.org/wiki/%E4%B8%9C%E9%BB%91%E7%99%BD%E7%96%A3%E7%8C%B4,zh,success,
东部灰大袋鼠,Macropus giganteus,亞屬：Macropus；种：Macropus giganteus,栖息在辽阔的草原，日间以丛林作为遮荫。,特有于澳大利亚，分布在近大城市的南部及东岸。,,夜间或暮晨活动。在一些偏远地区是以大群聚居的。可以移动得很快，最高纪录达每小时64公里。,全年繁殖。雌性具有胚胎滞育特性，可延后下一胎出生直至前一胎幼崽离开育幼袋。幼崽出生时发育不完全、无毛、四肢短小，需爬入育幼袋继续发育。,IUCN：无危物种,东部灰大袋鼠站立时约2米高，一般重约90~100公斤。；其种加词“Giganteus”意为“巨大的”。；刚出生的幼袋鼠无法直接钻进袋里，需先钻进去翻个身，腿部进入后再从里面探出头来。,https://zh.wikipedia.org/wiki/%E6%9D%B1%E9%83%A8%E7%81%B0%E5%A4%A7%E8%A2%8B%E9%BC%A0,zh,partial,字段缺失：食性
中美毛臀刺鼠,Dasyprocta punctata,属：Dasyprocta；种：Dasyprocta punctata,栖于地上，喜欢热带的环境，生活在水边以降温。,广泛分布在中部美洲及南美洲。北方由恰帕斯州及犹加敦半岛至厄瓜多尔及哥伦比亚北部及委内瑞拉西部。南方由秘鲁及玻利维亚南部，经巴西及巴拉圭西南部至阿根廷北部。被引进到古巴东部及西部及开曼群岛。在中部美洲，于海拔2400米的低地出没。,主要吃果实，寻找有果实的树。有时也会寻找及吃蟹、菜蔬及其他植物。当食物丰富时，会藏起种子。,活动节律主要为昼行性，若受到捕猎时会转为夜间活动。有领域意识，适合高速奔跑，以脚趾行走，可跳高于6呎。视觉、听觉及触觉沟通良好。雄鼠及雌鼠都有肛门腺以划定疆界。大部分时间以后脚刷身体以除去寄生虫、虱及螨。当领土被入侵时，雄鼠会出来袭击入侵者。怕热。,一夫一妻制，终生只有一个伴侣。雄鼠向雌鼠撒尿示爱。全年繁殖，幼鼠主要在3月及7月果实丰富的季节出生。妊娠期96-126日。每胎一般产4子，出生时约重22.7克。母鼠照顾幼鼠140日，前一只幼鼠在另一只出生时独立生活。幼鼠约487日达至性成熟。平均寿命13.8岁。,IUCN：无危物种,中美毛刺鼠能够从远处听见果实掉下来的声音。；雄鼠会向雌鼠撒尿来示爱，令雌鼠狂热起舞。；中美毛臀刺鼠的爪像蹄，后脚有三趾。,https://zh.wikipedia.org/wiki/%E4%B8%AD%E7%BE%8E%E6%AF%9B%E8%87%80%E5%88%BA%E9%BC%A0,zh,success,
松鼠猴,Saimiri sciureus,属：Saimiri；种：Saimiri sciureus,主要生活在亚马孙盆地，喜欢栖息在林冠的中部，有时候也会到地面活动，或者爬上林冠高处。喜欢雨林、热带草原、红树林或者沼泽地能为猛禽提供掩护的植被。,分布于南美的大多数国家，包括玻利维亚、巴西、哥伦比亚、厄瓜多尔、法属圭亚那、圭亚那、秘鲁、苏里南、巴拉圭、委内瑞拉等国家。还有一部分被引进到美国佛罗里达州南部。2010年被视作巴西大西洋沿岸森林的入侵物种。,一般认为松鼠猴既以水果为食，也以昆虫为食，偏爱树上的莓类水果。也食用多种蔬菜（如莴苣、芹菜和洋葱），捕食昆虫和小型脊椎动物（如树蛙）。找不到水果时也会食用花蜜。主要从食物中摄取水分，也会从树洞和地上的水坑饮水。,松鼠猴采用一夫多妻制，群体内部有多个雄性和雌性。大部分社会行为发生在不同的年龄/性别阶层中。幼崽生长快，五到八个月时相当独立。公猴生殖发育成熟后会从出生的猴群迁出。公猴之间的生殖器展示是猴群等级制度的重要社会标志，用于强调地位和宣告联盟关系，与性行为无关。松鼠猴习惯白天活动，晚上休息，叫声包括啼叫、嚎叫和尖叫，且为遗传决定。,孕期：162±10天。繁殖具有季节性，出生季节成年雄性不活跃，交配季节异性间交互频率增加。不愿意交配的雌性会借助周围雌性的帮助威胁并赶走雄性。,IUCN：无危物种,松鼠猴的叫声是遗传决定的，而非学习得到，即使是出生就耳聋或从小隔离饲养的松鼠猴，发出的声音也与其他松鼠猴基本相同。；松鼠猴在觅食过程中会将寻找食物的过程视为玩耍，如果被捕获后直接提供食物，它们很容易感到无聊。；占据统治地位的公猴会通过张开两腿露出勃起的生殖器来向服从它们的公猴强调地位，这种行为有时会以“联合展示”的形式出现以宣告联盟关系。,https://zh.wikipedia.org/wiki/%E6%9D%BE%E9%BC%A0%E7%8C%B4,zh,success,
双垂鹤鸵,Casuarius casuarius,属：Casuarius；种：Casuarius casuarius,森林、疏林草原,分布于印尼、新几内亚及澳大利亚东北部的热带雨林区。,食物几乎都是水果，除此之外也会以菌类、一些昆虫和小型动物为食。能消化一些对其他动物有毒的水果。最常吃的水果是埃及梅（Davidsonia pruriens）、多枝肖蒲桃（Acemena divaricata）和樟科植物。,活动节律为昼行性。头上有骨盔，功用像声波接收器，为了让自己的声音能够穿透树林，它能够发出比其他鸟类都要低频率的叫声。足具3根长趾均向前善于奔跑，三趾中最内侧脚趾有一个12厘米长匕首一样锋利的长指甲，强壮而锐利，主要用于搏斗。,冬季与春季为繁殖期，雌鹤鸵和数只雄鹤鸵交配，并把卵分别产在各雄鹤鸵的巢中。巢位于树下落叶层上，形状为浅凹状，高约25厘米，直径70厘米。每巢通常产4枚绿色卵，长13厘米。所有对卵和雏鸟的照顾都由雄性单独完成，持续47-61天。南方鹤鸵照顾雏鸟持续约8个月至18个月直到幼鸟独立，亚成鸟羽饰似成鸟，4-5龄性成熟。,IUCN：无危物种,南方鹤鸵是澳洲第二大的鸟，而在世界上则是第三大，仅次于鸵鸟及鸸鹋。；成年南方鹤鸵身高平均约1.2-1.7米高，最高可到1.9米，体重平均约17~70公斤。,https://zh.wikipedia.org/wiki/%E5%8D%97%E6%96%B9%E9%B6%B4%E9%B4%95,zh,success,
普通狨,Callithrix jacchus,Callithrix；种：Callithrix jacchus,主要分布于巴西东部，主要在树上攀爬和跳跃，有时也出现在平地上。,分布于巴西东部。,以昆虫、蜘蛛、小脊椎动物和鸟蛋为食。,活动节律为昼行性，在白天活动。普通狨以4-15只组成一群，通常为一个家庭，群体中有严格的等级观念。,孕期约为150天，每胎一般产两仔，最多有产四仔的记录。幼仔体重大约是成体的20%-27%，雄性性成熟期为一年，雌性为20-24个月。平均寿命为10年。,IUCN：无危物种,普通狨因耳边有一簇白色长发，所以也叫绒耳狨。；成年普通狨的体长为14-18厘米，体重约为400克。；普通狨的前额有白色印记，脸部没有毛，尾巴为灰白色。,https://zh.wikipedia.org/wiki/%E6%99%AE%E9%80%9A%E7%8B%A8,zh,success,
南浣熊,Nasua nasua,属：Nasua；种：Nasua nasua,,分布于南美洲的热带和亚热带地区,,活动节律为昼行性,孕期约为73±3天,IUCN：无危物种,该物种由卡尔·林奈在1766年根据一个红色的标本命名为Viverra nasua，后来被归类为南美浣熊属。；截至2005年，该物种共有13个亚种。,https://zh.wikipedia.org/wiki/%E5%8D%97%E7%BE%8E%E6%B5%A3%E7%86%8A,zh,partial,字段缺失：栖息地、食性
